Series,Sheet,Hisense_model,Colour,EU_model_Indoor,EU_model_Outdoor,Type,Pdesign_Cooling_W,Pdesign_Heating_Average_W,SEER,SCOP_Heating_Average,SCOP_Heating_Warm,EnergyClass_Cooling,EnergyClass_Heating_Average,EnergyClass_Heating_Warm,CoolingCapacity_Nom,CoolingCapacity_Min,CoolingCapacity_Max,HeatingCapacity_Nom,HeatingCapacity_Min,HeatingCapacity_Max,InputCooling_Nom,InputCooling_Min,InputCooling_Max,InputHeating_Nom,InputHeating_Min,InputHeating_Max,RatedInput_Cooling_W,RatedInput_Heating_W,PowerSupply,RatedCurrent_A,Indoor_SoundPressure,Indoor_SoundPower_dBA,Outdoor_SoundPower_dBA,Outdoor_SoundPressure_dBA,LiquidPipe,GasPipe,Evaporator,Condenser
Hi-Comfort,Hi-Comfort,AST-24UW4RBTKE02A,,,,"T1, H/P, INVERTER",6500.0,5450.0,6.2,4.0,5.1,A++,A+,A+++,6500.0,1600.0,7200.0,7100.0,1800.0,7300.0,2060.0,420.0,2760.0,2150.0,395.0,2700.0,,,,9.2,45/42/40/38/35/32,64.0,65.0,56.0,3/8,5/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro S,Energy Pro S,AST-12UW4RXVQE01,,,,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.6,A+++,A+++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,790.0,980.0,,3.5,38/36/33/32/30/25,55.0,62.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro,Energy Pro,AST-09UW4RXVQE00,,QE25XV0EG,QE25XV0EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.0,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,720.0,,2.4,38/35/34/31/29/25,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro,Energy Pro,AST-12UW4RXVQE00,,QE35XV0EG,QE35XV0EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.6,A+++,A+++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,790.0,980.0,,3.5,38/36/33/32/30/25,54.0,61.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro plus,Energy Pro plus,AST-09UW4RXVQE00A,,QG25XV0EG,QG25XV0EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.0,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,720.0,,2.4,38/35/34/31/29/25,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Energy Pro plus,Energy Pro plus,AST-12UW4RXVQE00A,,QG35XV0EG,QG35XV0EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.6,A+++,A+++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,790.0,980.0,,3.5,38/36/33/32/30/25,54.0,61.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh master,Fresh master,AS-09UW4RXVQF00,,QF25XW0EG,QF25XW0EW,"T1, H/P, INVERTER",2600.0,2400.0,8.8,5.1,6.0,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,720.0,,2.4,37/35/33/30/28/26,53.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Fresh master,Fresh master,AS-12UW4RXVQF00,,QF35XW0EG,QF35XW0EW,"T1, H/P, INVERTER",3500.0,2600.0,8.5,5.1,5.6,A+++,A+++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,790.0,980.0,,3.5,37/35/33/30/28/26,54.0,62.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Silentium pro,Silentium pro,AST-09UW4RXUQD0A,,QD25XU0EG,QD25XU0EW,"T1, H/P, INVERTER",2600.0,2400.0,8.5,5.1,6.2,A+++,A+++,A+++,2600.0,1000.0,4000.0,3200.0,1600.0,4200.0,,,,,,,535.0,670.0,,2.4,42/40/38/34/32/28,55.0,60.0,50.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Silentium pro,Silentium pro,AST-12UW4RXUQD0A,,QD35XU0EG,QD35XU0EW,"T1, H/P, INVERTER",3500.0,2500.0,8.5,5.1,5.6,A+++,A+++,A+++,3500.0,1000.0,4400.0,4200.0,1600.0,4800.0,,,,,,,790.0,980.0,,3.5,43/40/38/36/33/28,55.0,61.0,52.0,1/4,3/8,Copper tube and Aluminum Fin,Copper tube and Aluminum Fin
Silentium pro,Silentium pro,0A have heating belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
